127018	127018 155912 25550 22466 22465 22464 26376 26372 26371 93254 165773 93250 93253 165778 165779 55760 55761 51068 51065 51063	
150393	150393 16071 16070 117070 117071 117073 161279 161271 161270 161276 88717 161274 120611 120616 120617 120615 10891 168956 160891 168951	
61513	61513 61511 120522 35784 35785 35782 49542 35788 155102 49547 93788 93789 3998 3997 3995 32836 127404 3990 73265 127405	
49858	49858 68487 157587 68483 68482 142605 142607 142606 112460 144769 115118 144760 126562 115116 144765 50210 140532 50215 50214 50217	
77168	77168 4020 4021 77165 77167 143987 4029 130347 19409 19407 19405 19403 19401 100386 737 100382 133405 133409 140090 140091	
44688	44688 26951 168199 149586 149584 149583 168192 168195 149589 169821 169827 158608 68758 68756 1975 96881 157650 68751 1970 13276	
103891	103891 87969 87968 87963 87962 87967 87966 87964 117077 130640 43878 130643 43874 43876 43871 43870 101491 101492 128876 101496	
154894	154894 100364 134345 45112 134346 154899 134342 85613 44249 44248 128125 159036 133693 133690 44245 42838 135961 42836 42834 138514	
11388	11388 11389 43270 43277 96379 43275 170201 170203 19158 170206 170207 19155 170209 19156 116414 52269 116419 116418 52264 169894	
92090	92090 92092 66775 66773 151550 151553 50643 24719 24718 130861 66778 61202 101246 61208 73065 22008 141305 141307 141309 141308	
88486	88486 133748 133745 96319 41699 151322 15869 15868 41692 15867 41697 41696 15863 15862 123569 55067 123566 123563 123562 18929	
340	340 7512 92879 343 92877 92873 92871 19374 19377 19376 163136 19378 96553 127494 88626 149330 149332 102591 158098 158096	
167487	167487 102801 102800 102809 102808 36718 57490 113002 57497 113007 57495 36710 36713 36717 24860 21815 24864 21811 21819 21818	
160898	160898 168950 155411 155412 155413 155415 119467 119466 168855 163548 13606 13605 81539 81536 2317 2312 2310 2311 5854 5855	
127475	127475 148703 123856 120124 113017 82996 46136 88399 97158 36706 97153 113018 142427 19973 19971 19970 19977 19979 130463 12019	
51062	51062 56234 56237 56231 56230 114672 110312 114676 114675 110317 167735 96150 96152 104442 96156 136221 57720 57726 155257 140064	
32655	32655 32654 32650 32653 116175 32659 6152 130135 6154 6158 139556 131204 124009 124008 102728 113186 124002 135585 128588 128589	
56587	56587 56586 56588 145110 145114 35439 164420 23847 23844 23842 23840 23841 93439 168992 23849 140548 32789 27175 65870 65872	
25067	25067 25064 25065 120432 120431 120435 151958 156060 151950 166157 82224 6971 82220 166559 82229 166158 56121 56125 56124 56128	
150177	150177 158802 27575 156389 156388 67109 164952 67102 156383 67104 157924 68826 68821 147698 136118 157921 23055 23056 23051 23050	
137923	137923 165338 93694 93695 93697 93690 93691 165334 93693 56675 56676 98444 56679 56678 145006 4632 145004 100929 4636 4635	
101700	101700 23264 136320 23260 23261 136329 23268 23269 109277 109271 87904 87907 166314 87909 104712 53733 126734 10702 165834 53737	
52260	52260 43183 43182 43186 60353 60351 60355 150553 87587 65652 155700 65654 65656 65658 150559 155708 87588 119999 154077 69370	
114671	114671 11162 144611 8765 8764 8767 8760 164189 164184 50895 66980 160404 160403 66985 160401 160409 121026 8492 8490 8499	
101498	101498 128879 6795 135035 135036 6798 6799 124173 124172 156989 124179 124178 154352 128291 103496 135692 111166 154897 131288 154896	
22003	22003 22002 73069 73068 22006 31912 77768 31915 31919 31918 165350 165352 61498 165357 75722 98465 75724 98461 98468 4657	
170445	170445 131445 84910 160035 154720 69427 2327 138748 4730 4734 43476 86216 69391 4738 4739 69394 86210 17657 17650 17653	
84863	84863 161370 161371 69558 154655 100703 154657 64703 64704 69553 64706 21101 46485 21102 21104 46481 111082 21109 152552 63733	
27377	27377 166489 75940 98647 166483 98642 98640 166486 165825 165823 165821 25283 25280 130032 32013 55837 55834 32017 55830 32014	
158095	158095 90245 158093 158092 158091 158090 120728 64879 153975 69886 69887 64872 64873 120721 16499 16498 16497 16493 65478 150778	
5852	5852 5853 5858 166809 166808 164011 161856 161855 166801 161852 161851 161850 56838 116309 116308 17382 52393 17381 52397 56835	
51601	51601 32782 51603 51602 32787 32786 51606 56051 105284 56055 56057 36202 155616 36201 160244 25444 36208 25447 25440 137701	
166480	166480 167618 57666 57668 166487 52103 52102 52100 52106 105632 105637 105636 69642 60018 146332 143996 102948 60010 137587 113148	
292	292 86986 86982 157847 86989 43988 157846 157841 43987 43986 42054 140325 42056 42057 101389 140321 140322 127710 42058 135108	
98317	98317 123187 57293 30708 117255 51841 16250 16257 149933 16258 117259 97337 105003 97333 149208 166557 69727 116783 64534 116785	
